SalesHistory
Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DealNumber,ContractDate,DeliveryDate,DealStatus,Comments,InventoryType,StockNumber,VIN,VehicleMake,VehicleModel,VehicleModelYear,VehicleSalePrice,TotalGrossProfit,BackEndGrossProfit,FrontEndGrossProfit,APR,ContractTerm,MonthlyPayment,BuyerID,BuyerBirthDate,BuyerHomeAddressCity,BuyerHomeAddressState,BuyerHomeAddressPostalCode,SalesPersonID,SalesPerson2ID,Trade1_StockNumber,Trade1_VIN,Trade1_Year,Trade1_Make,Trade1_Model,Trade2_VIN,Trade2_Year,Trade2_Make,Trade2_Model
1008,9/6/06 0:00,9/6/06 0:00,F,,N,CCG292,JTHCK262X75007951,Lexus,IS 250,2007,33921,1968,-230,2198,,1,36006.51,11396,,Saint Joseph,MI,49085,2995,,,,,,,,,,
10086,1/18/11 0:00,1/18/11 0:00,F,,U,J596A,JTHCK262X72012262,Lexus,IS 250,2007,23760,2727.48,542.43,2185.05,4.15,63,451.54,10029,,Baroda,MI,491019799,4692,,,,,,,,,,
10089,1/18/11 0:00,1/18/11 0:00,F,,U,J607A,WBADN63463GN88659,BMW,540,2003,14500,1616.62,237.38,1379.24,5.8,48,277.65,10030,3/18/62 0:00,Granger,IN,465307114,4692,,J607B,JT8BF22G4V0049236,1997,Lexus,ES 300,,,,
10092,1/19/11 0:00,1/19/11 0:00,F,,N,K125,JTHCE5C23B5000507,Lexus,IS 350,2011,40282,2459.56,1159.56,1300,2.9,48,699.65,13139,6/20/69 0:00,Osceola,IN,465618548,2995,,K125A,5TDDK3EH8AS024525,2010,Toyota,Highlander,,,,
10095,1/20/11 0:00,1/20/11 0:00,F,,U,K210A,1HGCD5666SA119678,Honda,Accord,1995,4500,2675,0,2675,,,,10105,,South Bend,IN,466351759,5283,,,,,,,,,,
10103,1/24/11 0:00,1/24/11 0:00,F,,N,K204,JTHBK1EG8B2430833,Lexus,ES 350,2011,35082.68,979.68,0,979.68,2.9,36,388.68,10161,5/9/31 0:00,Kalamazoo,MI,490083399,6733,,,,,,,,,,
10104,1/24/11 0:00,1/24/11 0:00,F,,N,K219,JTHCL5EF9B5009508,Lexus,LS 460,2011,72000,4899,0,4899,,,,62336,,Elkhart,IN,465148886,5283,,,,,,,,,,
10110,1/22/11 0:00,1/22/11 0:00,F,,U,J587AA,3C3EL55H8XT555692,Chrysler,Sebring,1999,6993,3285.52,0,3285.52,,,,10166,9/6/73 0:00,White Pigeon,MI,490999440,2876,,J587AB,1FTNX21L94EA75746,2004,Ford,F-250,,,,
10115,1/25/11 0:00,1/25/11 0:00,F,,N,K197,2T2BK1BA2BC094451,Lexus,RX 350,2011,44000,1075,150,925,2.9,60,358.48,10226,6/13/47 0:00,Union,MI,491309709,4692,,,,,,,,,,
10120,1/25/11 0:00,1/25/11 0:00,F,,U,J617B,1FMFU18L2VLB51829,Ford,Expedition,1997,4112,2487,0,2487,,,,10255,,South Bend,IN,466373245,2876,,,,,,,,,,
10125,1/25/11 0:00,1/25/11 0:00,F,,U,K141A,2T2HK31U19C118721,Lexus,RX 350,2009,36995,2719.54,0,2719.54,,,,10267,,Elkhart,IN,46517,6733,,K141B,2B4GP44302R706364,2002,Dodge,Grand Caravan,,,,
10126,1/25/11 0:00,1/25/11 0:00,F,,U,K193AA,JTJHF10U830298468,Lexus,RX 300,2003,13200,3106.76,200,2906.76,5.8,48,233.93,804425,3/4/67 0:00,Granger,IN,465304270,2876,,,,,,,,,,
10127,1/25/11 0:00,1/25/11 0:00,F,,U,J611A,1GKFK16T0YJ173667,GMC,Yukon XL 1500,2000,6807.48,3582.48,0,3582.48,,,,10273,,Plymouth,IN,465631116,6733,,,,,,,,,,
10129,1/26/11 0:00,1/26/11 0:00,F,,U,J459B,2G1WH55K919149565,Chevrolet,Impala,2001,4483,2488,0,2488,,,,10292,,Berrien Sprgs,MI,491040001,2995,,,,,,,,,,
10132,1/28/11 0:00,1/28/11 0:00,F,,N,K201,JTJJM7FX2B5025149,Lexus,GX 460,2011,60942,4229.31,887.31,3342,2.9,36,1023,10294,7/28/75 0:00,Granger,IN,465304258,4692,,,,,,,,,,
10134,1/28/11 0:00,1/28/11 0:00,F,,N,K214,2T2BK1BAXBC098070,Lexus,RX 350,2011,42689,3386.69,791.69,2595,2.9,36,573.5,12715,11/9/50 0:00,Granger,IN,465304258,4692,,,,,,,,,,
10136,1/29/11 0:00,1/29/11 0:00,F,,N,K164,2T2BK1BA0BC092682,Lexus,RX 350,2011,42421,2317.7,228.7,2089,2.9,48,548.86,104115,6/23/41 0:00,Granger,IN,465308387,2876,,,,,,,,,,
10141,1/27/11 0:00,1/27/11 0:00,F,,U,K207A,JTJHY7AX0A4054406,Lexus,LX 570,2010,81026,6401,0,6401,,,,10368,,Saint Paul,MN,551045051,4692,,,,,,,,,,
10143,1/29/11 0:00,1/29/11 0:00,F,,N,K225,2T2BK1BAXBC089630,Lexus,RX 350,2011,45876,2878,250,2628,2.9,36,1108.85,10369,,Kewanna,IN,469392039,2876,,,,,,,,,,
10152,1/29/11 0:00,1/29/11 0:00,F,,U,K175B,YV1CM59H331013308,Volvo,XC90,2003,5500,3375,0,3375,,,,10379,,Union,MI,491309796,2876,,,,,,,,,,
10154,1/31/11 0:00,1/31/11 0:00,F,,N,K230,2T2BK1BA1BC094862,Lexus,RX 350,2011,44500,1276.83,497.83,779,2.9,36,606.32,13315,2/22/76 0:00,Carmel,IN,460330002,2876,,,,,,,,,,
10156,1/31/11 0:00,1/31/11 0:00,F,,N,K213,2T2BK1BA3BC098458,Lexus,RX 350,2011,45700,2515,250,2265,2.9,60,699.14,10385,7/16/32 0:00,Lakeside,MI,491165133,6733,,,,,,,,,,
10157,1/31/11 0:00,1/31/11 0:00,F,,N,K211,2T2BK1BA2BC097916,Lexus,RX 350,2011,46383,2295,200,2095,2.9,60,498.85,10386,11/2/77 0:00,Chicago,IL,606106070,2876,,K211A,JTJHW31U160030523,2006,Lexus,RX 400h,,,,
1016,9/23/06 0:00,9/23/06 0:00,F,,N,CCG301,JTHBJ46G572044316,Lexus,ES 350,2007,39190,2806.05,-289.95,3096,,1,41591.65,11366,7/27/61 0:00,Lenoir City,TN,377726953,5283,,,,,,,,,,
10161,1/31/11 0:00,1/31/11 0:00,F,,N,K209,2T2BK1BA3BC097584,Lexus,RX 350,2011,42689,2745,150,2595,2.9,60,407.43,556023,3/25/49 0:00,South Bend,IN,466142473,2876,,K209A,JTJHA31U740046155,2004,Lexus,RX 330,,,,
10162,1/31/11 0:00,1/31/11 0:00,F,,U,K141B,2B4GP44302R706364,Dodge,Grand Caravan,2002,2500,1875,0,1875,,,,10428,,Southfield,MI,480337153,2995,,,,,,,,,,
10165,2/18/11 0:00,2/18/11 0:00,F,,N,K237,JTHCE1KS8B0029623,Lexus,GS 350,2011,50416.49,2755.49,0,2755.49,2.9,36,640.03,16575,,Goshen,IN,46526,2995,,,,,,,,,,
10166,1/31/11 0:00,1/31/11 0:00,F,,N,K172,JTHCE5C29B5000818,Lexus,IS 350,2011,39830.5,2077.5,150,1927.5,2.9,36,564.64,10442,,Benton Harbor,MI,49022,2876,,K172A,JTHCK262782027576,2008,Lexus,IS 250,,,,
10168,3/14/11 0:00,3/14/11 0:00,F,,N,K245,JTHCE1KSXB0029851,Lexus,GS 350,2011,50536,1462.7,0,1462.7,2.9,36,774.93,10843,,Mishawaka,IN,46544,4692,,,,,,,,,,
10172,2/10/11 0:00,2/10/11 0:00,F,,N,J358,JTHBB1BA2A2023945,Lexus,HS 250h,2010,41000,2426.41,509.97,1916.44,2.9,48,534.58,10581,,Mishawaka,IN,465451869,5283,,J358A,1N4BA41E46C838603,2006,Nissan,Maxima,,,,
10174,2/5/11 0:00,2/5/11 0:00,F,,N,K227,JTHCL5EF7B5009801,Lexus,LS 460,2011,70400,4825,400,4425,3.65,36,528.74,11568,,South Bend,IN,466289768,5283,,K227A,JTHBL46F285062287,2008,Lexus,LS 460,,,,
10176,4/7/11 0:00,4/7/11 0:00,F,,N,K282,JTHCL5EF4B5010646,Lexus,LS 460,2011,73269.1,7688.72,753.62,6935.1,2.9,24,1449.06,11973,,Plymouth,IN,465631374,5283,,,,,,,,,,
10177,2/28/11 0:00,2/28/11 0:00,F,,N,K251,2T2BK1BA9BC104019,Lexus,RX 350,2011,46545,-789.35,0,-789.35,2.9,36,466.25,100215,,Niles,MI,491207789,5283,,K251A,JTJHF10U010177138,2001,Lexus,RX 300,,,,
10180,2/8/11 0:00,2/8/11 0:00,F,,U,K127A,JT6HF10U1Y0126767,Lexus,RX 300,2000,10183,3710.52,0,3710.52,,,,10515,,South Bend,IN,466281951,4692,9999,,,,,,,,,
10184,2/8/11 0:00,2/8/11 0:00,F,,U,J624A,JTHBJ46G182221459,Lexus,ES 350,2008,27195,4248.42,591.3,3657.12,4.15,60,539.82,10561,,Mishawaka,IN,46545,4692,5283,,,,,,,,,
10186,2/9/11 0:00,2/9/11 0:00,F,,U,L1112A,1FMDU34X1VUC98892,Ford,Explorer,1997,4200,2575,0,2575,,,,10550,,Goshen,IN,465264308,2995,,,,,,,,,,
10190,2/10/11 0:00,2/10/11 0:00,F,,U,J369BB,2B3KA53H06H233693,Dodge,Charger,2006,13993,1563.83,486.62,1077.21,6.7,51,301.21,10620,11/3/75 0:00,Elkhart,IN,465162208,2995,,,,,,,,,,
10193,2/10/11 0:00,2/10/11 0:00,F,,N,K223,2T2BK1BAXBC099641,Lexus,RX 350,2011,42158.42,1049.87,228.45,821.42,2.9,48,539.25,444945,6/30/42 0:00,Elkhart,IN,465144708,2876,,,,,,,,,,
10195,2/10/11 0:00,2/10/11 0:00,F,,U,L1070A,1GNCT18W7TK162811,Chevrolet,Blazer,1996,900,400,0,400,,,,10624,,South Bend,IN,466192045,2876,,,,,,,,,,
10196,2/10/11 0:00,2/10/11 0:00,F,,N,K192,JTJBM7FX4B5025142,Lexus,GX 460,2011,55500,3469,0,3469,,,,14456,,Elkhart,IN,465173215,5283,,,,,,,,,,
10197,2/11/11 0:00,2/11/11 0:00,F,,N,J392,JTHBB1BA6A2025830,Lexus,HS 250h,2010,38900,1210.8,0,1210.8,,,,10627,,Saint Joseph,MI,490859722,2995,,,,,,,,,,
10198,2/19/11 0:00,2/19/11 0:00,F,,N,K233,2T2BK1BA5BC100839,Lexus,RX 350,2011,45230,997.5,0,997.5,2.9,36,652.8,10843,,Mishawaka,IN,46544,4692,,,,,,,,,,
10199,2/11/11 0:00,2/11/11 0:00,F,,U,L1105,JTHBN30F230096877,Lexus,LS 430,2003,20000,3908.72,200,3708.72,5.55,51,474.33,10636,,South Bend,IN,466161934,2995,,,,,,,,,,
10200,2/12/11 0:00,2/12/11 0:00,F,,U,K211A,JTJHW31U160030523,Lexus,RX 400h,2006,26995,3353.95,386.1,2967.85,3.9,60,396.72,10643,,Stevensville,MI,491278472,2995,,K211B,JTEHF21A320069056,2002,Toyota,Highlander,,,,
10202,2/12/11 0:00,2/12/11 0:00,F,,N,K124,2T2BK1BA5BC086666,Lexus,RX 350,2011,42400,1911,455,1456,2.9,60,268.9,12153,1/1/52 0:00,Bourbon,IN,465049636,2876,,K124A,JTJHW31U672015490,2007,Lexus,RX 400h,,,,
10204,2/14/11 0:00,2/14/11 0:00,F,,N,K180,JTJBM7FXXB5024321,Lexus,GX 460,2011,56500,4530,400,4130,3.65,36,486.74,632695,1/19/55 0:00,South Bend,IN,466376040,2876,,K180A,JTJBT20X690172035,2009,Lexus,GX 470,,,,
10208,2/14/11 0:00,2/14/11 0:00,F,,U,L1116A,WA1EY74L57D059909,Audi,Q7,2007,26500,3046.34,470.78,2575.56,3.75,60,430.94,10667,5/4/74 0:00,Granger,IN,465306920,2995,,L1116B,WAUDF78E47A078839,2007,Audi,A4,,,,
10210,2/25/11 0:00,2/25/11 0:00,F,,N,K250,2T2BK1BA4BC102971,Lexus,RX 350,2011,45830,1632.91,299.48,1333.43,2.9,36,615.63,663927,3/1/47 0:00,Niles,MI,491207820,5283,,,,,,,,,,
10213,2/17/11 0:00,2/17/11 0:00,F,,N,K166,JTHCL5EF7B5009314,Lexus,LS 460,2011,70408,3775.04,0,3775.04,2.9,36,1087.81,10843,,Mishawaka,IN,46544,4692,,,,,,,,,,
10216,2/18/11 0:00,2/18/11 0:00,F,,U,K160AA,1J8GW68JX3C502698,Jeep,Grand Cherokee,2003,12800,3814.67,0,3814.67,,,,10831,,Conway,AR,720328235,6733,,,,,,,,,,
10220,2/28/11 0:00,2/28/11 0:00,F,,N,J567,JTHBL5EF3A5099541,Lexus,LS 460,2010,62500,1396,,,,,,10853,,Elkhart,IN,46514,6733,,J567A,,2007,LEXU,GS350,,,,
10222,2/25/11 0:00,2/25/11 0:00,F,,N,K170,JTJBC1BA7B2037515,Lexus,RX 450h,2011,53355.38,1473.05,344.02,1129.03,2.9,36,732.1,10425,,Mishawaka,IN,465456447,2876,,,,,,,,,,
10225,2/19/11 0:00,2/19/11 0:00,F,,U,J638A,JTHCK262885027150,Lexus,IS 250,2008,25395.44,1861.66,500,1361.66,3.9,72,406.8,10855,,Lakeville,IN,465369460,2876,,J638B,WAULT68E15A051917,2005,Audi,A4,,,,
10227,2/19/11 0:00,2/19/11 0:00,F,,U,K120A,JTHBJ46G872084230,Lexus,ES 350,2007,23270,3212.85,775,2437.85,0.9,48,569.6,10874,,Elkhart,IN,465145422,2995,,,,,,,,,,
10228,2/19/11 0:00,2/19/11 0:00,F,,N,K235,2T2BK1BA1BC099026,Lexus,RX 350,2011,42450,2046,0,2046,2.9,60,726.43,10958,,South Bend,IN,466149152,2876,,,,,,,,,,
10231,2/26/11 0:00,2/26/11 0:00,F,,U,K167A,JTHBN36F855010999,Lexus,LS 430,2005,20900,-205.6,0,-205.6,,,,11308,,Granger,IN,465308298,2995,,K167B,JTHBN30FX20085205,2002,Lexus,LS 430,,,,
10233,2/26/11 0:00,2/26/11 0:00,F,,U,K178A,2T2HK31UX9C130284,Lexus,RX 350,2009,33602.34,3614.95,496.37,3118.58,2.9,60,444.92,11308,,Granger,IN,465308298,2995,,K178B,2HNYD18224H522675,2004,Acura,MDX,,,,
10235,2/21/11 0:00,2/21/11 0:00,F,,U,L1113A,2T2HA31U94C029166,Lexus,RX 330,2004,18913,4489.56,0,4489.56,,,,10893,,Duluth,MN,558032708,6733,,,,,,,,,,
10237,2/21/11 0:00,2/21/11 0:00,F,,U,L1119,2T2HK31U08C089307,Lexus,RX 350,2008,31000,2164.17,0,2164.17,,,,15166,,Cambridge,MA,21411881,2876,,L1119A,4JGAB72E81A230179,2001,Mercedes-Benz,ML430,,,,
1024,9/2/06 0:00,9/2/06 0:00,F,,N,CCG265,2T2HK31U27C025090,Lexus,RX 350,2007,43645,3236.19,534.74,2953,0.00205,36,638.08,11365,1/29/51 0:00,Elkhart,IN,465179158,8002,,,,,,,,,,
10240,2/22/11 0:00,2/22/11 0:00,F,,U,K211B,JTEHF21A320069056,Toyota,Highlander,2002,14995,4356.16,0,4356.16,,,,10959,,South Bend,IN,466143600,4692,,K211C,1G6EL12Y41B100746,2001,Cadillac,Eldorado,,,,
10241,2/22/11 0:00,2/22/11 0:00,F,,N,K240,2T2BK1BA8BC101919,Lexus,RX 350,2011,41700,1446,150,1296,3.65,24,216.4,13313,,Bremen,IN,465068909,2876,,K240A,2T2HK31U98C072554,2008,Lexus,RX 350,,,,
10253,3/9/11 0:00,3/9/11 0:00,F,,U,K108A,WDDKJ5GB8AF004702,Mercedes-Benz,E350,2010,42898.13,2478.13,0,2478.13,,,,11142,,South Bend,IN,466151303,2995,,,,,,,,,,
10255,2/25/11 0:00,2/25/11 0:00,F,,N,K252,JTHCF5C28B5048632,Lexus,IS 250,2011,38900,627.58,220.89,406.69,2.9,48,516.18,11171,4/12/83 0:00,Hamilton,IN,467420161,2995,,K252A,JTHBK262172033996,2007,Lexus,IS 250,,,,
10257,2/25/11 0:00,2/25/11 0:00,F,,N,K118,JTHFE2C20B2505210,Lexus,IS 350C,2011,54000,4935,0,4935,,,,16605,,Rochester,IN,469757033,6733,,K118A,1ZVBP8FH3A5158916,2010,Ford,Mustang,,,,
1026,9/5/06 0:00,9/5/06 0:00,F,,N,CCG289,2T2HK31U67C027134,Lexus,RX 350,2007,39693,2806,-270,3076,,1,42124.83,11380,6/25/57 0:00,Cassopolis,MI,490319350,9884,2876,,,,,,,,,
10262,4/18/11 0:00,4/18/11 0:00,F,,N,K294,2T2BK1BA4BC108169,Lexus,RX 350,2011,45593.22,1439.22,0,1439.22,,,,623445,,La Porte,IN,463506710,2995,,,,,,,,,,
10264,2/28/11 0:00,2/28/11 0:00,F,,U,L1128,2T2HK31U98C058816,Lexus,RX 350,2008,23670.7,701.27,0,701.27,,,,11195,,Nyack,NY,109604913,2876,,,,,,,,,,
10265,3/7/11 0:00,3/7/11 0:00,F,,U,K205B,JTHCE96S570011550,Lexus,GS 350,2007,26736.82,4228.72,547.2,3681.52,3.9,60,499.83,11177,7/15/78 0:00,Indianapolis,IN,462441010,4692,,,,,,,,,,
10266,3/2/11 0:00,3/2/11 0:00,F,,U,K125A,5TDDK3EH8AS024525,Toyota,Highlander,2010,34874,3444.85,748.28,2696.57,3.15,60,674.78,100315,,Goshen,IN,465269126,6733,,,,,,,,,,
10267,3/2/11 0:00,3/2/11 0:00,F,,N,K169,JTHBK1EG9B2423793,Lexus,ES 350,2011,41599.75,2595.75,0,2595.75,,,,16363,3/26/47 0:00,Elkhart,IN,465173350,5283,,K169A,2G1FK1EJ2A9220901,2010,Chevrolet,Camaro,2T2HK31U48C080075,2008,Lexus,RX 350
10271,3/4/11 0:00,3/4/11 0:00,F,,N,K255,JTHKD5BH4B2004135,Lexus,CT 200h,2011,36650,1860.4,0,1661.99,2.9,48,487.86,11742,3/29/45 0:00,Granger,IN,465304516,2995,2876,,,,,,,,,
10274,3/8/11 0:00,3/8/11 0:00,F,,N,K224,2T2BK1BA5BC098851,Lexus,RX 350,2011,43048,3640.15,1255.29,2384.86,2.9,48,758.58,11350,1/28/78 0:00,South Bend,IN,466151120,2876,,K224A,JN8AZ18W39W201141,2009,Nissan,Murano,,,,
10283,3/5/11 0:00,3/5/11 0:00,F,,U,J543A,JTHBK1EGXA2343062,Lexus,ES 350,2010,32995,1698.07,0,1698.07,,,,11558,1/28/64 0:00,Stevensville,MI,491278641,2995,,J543B,JTHBJ46G172042921,2007,Lexus,ES 350,,,,
10290,3/8/11 0:00,3/8/11 0:00,F,,U,L1045B,1FMYU93156KA24626,Ford,Escape,2006,12995,1569.16,300,1269.16,11,48,310.24,11619,3/16/84 0:00,South Bend,IN,466284044,4692,,,,,,,,,,
10292,3/17/11 0:00,3/17/11 0:00,F,,N,K266,JTHKD5BH0B2006674,Lexus,CT 200h,2011,31775,1901.4,410.4,1491,6.7,60,384.3,11440,3/12/85 0:00,Goshen,IN,465261006,6733,,K266A,2S3DA417886120425,2008,Suzuki,XL7,,,,
10293,3/14/11 0:00,3/14/11 0:00,F,,N,K247,JTHCE1KSXB0029882,Lexus,GS 350,2011,50402,2724.27,0,2724.27,2.9,36,766.1,10843,,Mishawaka,IN,46544,4692,,,,,,,,,,
10296,3/23/11 0:00,3/23/11 0:00,F,,N,K271,2T2BK1BA4BC101920,Lexus,RX 350,2011,42100,1471,0,1471,,,,958995,,Elkhart,IN,465173363,2995,,K271A,JTJHA31U040012946,2004,Lexus,RX 330,,,,
10302,3/11/11 0:00,3/11/11 0:00,F,,U,K180A,JTJBT20X690172035,Lexus,GX 470,2009,42995,3704.78,200,3504.78,2.9,48,647.46,22195,,Rolling Pr,IN,463719613,6733,,K180B,JTJHA31U740055292,2004,Lexus,RX 330,,,,
10303,3/17/11 0:00,3/17/11 0:00,F,,N,J434,JTHBB1BA2A2021824,Lexus,HS 250h,2010,38647,318.32,0,318.32,2.9,48,620.26,15215,3/14/59 0:00,South Bend,IN,466145569,2876,,J434A,JTHCK262385022924,2008,Lexus,IS 250,,,,
10307,3/30/11 0:00,3/30/11 0:00,F,,N,K275,JTHBK1EG7B2438681,Lexus,ES 350,2011,39334.1,851.52,168.16,683.36,2.9,36,557.7,12458,,South Bend,IN,466199729,4692,,,,,,,,,,
10309,3/14/11 0:00,3/14/11 0:00,F,,U,J595A,1GMDX33L55D219519,Pontiac,Montana SV6,2005,10700,3040.32,123.93,2916.39,7.4,36,156.79,11739,,Mishawaka,IN,465452905,6733,,,,,,,,,,
10312,3/15/11 0:00,3/15/11 0:00,F,,U,K118A,1ZVBP8FH3A5158916,Ford,Mustang,2010,31683.18,7373.18,0,7373.18,,,,11756,7/5/72 0:00,Elkhart,IN,465179809,5283,,,,,,,,,,
10314,3/16/11 0:00,3/16/11 0:00,F,,U,L1130,JTHCK262972011586,Lexus,IS 250,2007,26000,6776.94,0,6776.94,,,,19098,5/22/65 0:00,Niles,MI,491207814,5283,,,,,,,,,,
10317,3/19/11 0:00,3/19/11 0:00,F,,N,K272,JTJBC1BAXB2042496,Lexus,RX 450h,2011,54900,4053,0,4053,2.9,60,983.02,11758,,Elkhart,IN,465146319,6733,,,,,,,,,,
10322,3/17/11 0:00,3/17/11 0:00,F,,U,L1051B,SAJEA51D22XC59136,Jaguar,X-TYPE,2002,4580.37,979.42,0,979.42,,,,17948,,South Bend,IN,466171480,2876,,,,,,,,,,
10329,3/19/11 0:00,3/19/11 0:00,F,,N,K259,JTHCL5EF2B5010421,Lexus,LS 460,2011,69162,3189,0,3189,,,,739348,,Niles,MI,491205946,2876,,,,,,,,,,
10330,3/22/11 0:00,3/22/11 0:00,F,,N,K273,2T2BK1BA7BC090198,Lexus,RX 350,2011,47500,2932.15,425.15,2507,3.7,60,494.7,399095,,Valparaiso,IN,463837805,2876,,K273A,2T2HA31U36C088622,2006,Lexus,RX 330,,,,
10332,3/18/11 0:00,3/18/11 0:00,F,,U,J442A,WBAFA53571LM80496,BMW,X5,2001,8500,1862.26,0,1862.26,,,,11771,,Mishawaka,IN,465444906,5283,,,,,,,,,,
10333,3/18/11 0:00,3/18/11 0:00,F,,U,K182A,2T2HK31U97C005998,Lexus,RX 350,2007,30995,3338.5,0,3338.5,,,,11782,3/3/63 0:00,Rochester,IN,469758920,4692,,K182B,1J4GL48K12W319114,2002,Jeep,Liberty,,,,
10334,3/18/11 0:00,3/18/11 0:00,F,,U,K171A,JTHBE262785019382,Lexus,IS 350,2008,30600,4623,0,4623,,,,11790,,Houston,TX,770981127,6733,,,,,,,,,,
10335,3/19/11 0:00,3/19/11 0:00,F,,N,K257,2T2BK1BA1BC103270,Lexus,RX 350,2011,42400,2144,0,2144,,,,11817,,South Bend,IN,466172502,4692,,,,,,,,,,
10336,3/18/11 0:00,3/18/11 0:00,F,,U,J504B,JM1BJ2227Y0263761,Mazda,Protege,2000,3300,990,0,752,,,,11845,,Granger,IN,465305851,6733,,,,,,,,,,
10341,3/23/11 0:00,3/23/11 0:00,F,,N,K267,2T2BK1BA6BC106939,Lexus,RX 350,2011,48732,4421.56,411.74,4009.82,2.9,36,747.34,10262,,Bridgman,MI,49106,2995,,K267A,2T2BK1BA2AC006125,2010,Lexus,RX 350,,,,
10348,3/23/11 0:00,3/23/11 0:00,F,,U,K105B,JTHBN30F220076689,Lexus,LS 430,2002,15500,3331.07,280.18,3050.89,6.1,48,329.64,11915,,Elkhart,IN,465149487,2876,,K105C,1B4HS28N11F590732,2001,Dodge,Durango,,,,
10351,3/22/11 0:00,3/22/11 0:00,F,,N,K155,2T2BK1BA3BC091235,Lexus,RX 350,2011,43000,2956,0,2956,2.9,60,530.47,387071,,Goshen,IN,465287009,2876,,K155A,2T2HA31U64C039282,2004,Lexus,RX 330,,,,
10352,3/23/11 0:00,3/23/11 0:00,F,,N,K173,JTHBK1EG5B2425928,Lexus,ES 350,2011,37000,2087,0,2087,2.9,60,156.48,387071,,Goshen,IN,465287009,2876,,K173A,1G6DW67V980185412,2008,Cadillac,STS,3VWSW31C16M411041,2006,Volkswagen,New Beetle
10359,3/24/11 0:00,3/24/11 0:00,F,,N,K265,JTHBK1EG7B2441371,Lexus,ES 350,2011,40342,2299,0,2299,,,,11992,,South Bend,IN,466288153,5283,,K265A,1G4HP54K4Y4152001,2000,Buick,LeSabre,,,,
